cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind,label,avg_macro_f1
A0,303,S1,0.24068870523415983,0.6361974405850092,226,0.17872744539411203,0.3188405797101449,32,0.18803418803418803,0.375,32,A0  base: LR on raw embeddings,0.20248344622081996
A1,303,S1,0.3558645423146179,0.5758998435054773,226,0.25392934951758483,0.3488372093023256,32,0.3551470588235294,0.5054945054945055,32,A1  + StandardScaler,0.32164698355191074
A2,303,S1,0.3244287749693191,0.593900481540931,226,0.30268853953064484,0.3595505617977528,32,0.3501194743130227,0.4666666666666667,32,A2  + PCA (95% variance),0.3257455962709956
A3,303,S1,0.23158772112983536,0.6361974405850092,226,0.1952380952380952,0.37142857142857144,32,0.21139277389277392,0.4,32,A3  XGBoost replaces LR,0.2127395300869015
A4,303,S1,0.2653020891217486,0.5872193436960277,226,0.25761042923514316,0.3614457831325301,32,0.28965608465608467,0.37333333333333335,32,A4  + cost-sensitive weighting,0.27085620100432545
A5,303,S1,0.3384628076714031,0.603648424543947,226,0.32648856990962255,0.4090909090909091,32,0.3333333333333333,0.4444444444444444,32,A5  + hybrid ensemble XGB+LR,0.3327615703047863
A6,303,S1,0.37143752919460565,0.5997392438070405,226,0.41918771660150966,0.484375,32,0.4096861471861472,0.4915254237288136,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4001037976607542
A2b,303,S1,0.33162801253913954,0.5733695652173914,226,0.35766426135671664,0.4444444444444444,32,0.38094905094905096,0.4827586206896552,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.35674710828163575
A2c,303,S1,0.35709678718610555,0.5904059040590406,226,0.3584933458557747,0.4566929133858268,32,0.31934041301863136,0.39316239316239315,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.3449768486868372
A0,404,S1,0.2236842105263158,0.6286764705882353,226,0.1623931623931624,0.28125,31,0.23060344827586207,0.45714285714285713,32,A0  base: LR on raw embeddings,0.2055602737317801
A1,404,S1,0.40913966732657453,0.6099071207430341,226,0.2626994583516323,0.345679012345679,31,0.4709235209235209,0.5098039215686274,32,A1  + StandardScaler,0.3809208822005759
A2,404,S1,0.38631904977685855,0.6237942122186495,226,0.35412267471091,0.4,31,0.41927727444968826,0.5111111111111111,32,A2  + PCA (95% variance),0.3865729996458189
A3,404,S1,0.22740481755076083,0.6481481481481481,226,0.17539682539682536,0.25,31,0.23703703703703705,0.4675324675324675,32,A3  XGBoost replaces LR,0.21327955999487438
A4,404,S1,0.34719429498505666,0.6271186440677966,226,0.24165181224004753,0.32,31,0.3498353162599987,0.5060240963855421,32,A4  + cost-sensitive weighting,0.3128938078283676
A5,404,S1,0.3864801827546012,0.6356340288924559,226,0.22800372142477407,0.3037974683544304,31,0.42716049382716054,0.5581395348837209,32,A5  + hybrid ensemble XGB+LR,0.3472147993355119
A6,404,S1,0.43154762542888486,0.6067961165048543,226,0.38076742658786,0.4838709677419355,31,0.5386415827592298,0.556390977443609,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4503188782586582
A2b,404,S1,0.42684950077175726,0.5878048780487805,226,0.4084856734474731,0.4369747899159664,31,0.45660578158726367,0.515625,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.43064698526883133
A2c,404,S1,0.4082625477670227,0.6176836861768369,226,0.3811827534653622,0.47058823529411764,31,0.5056758056758056,0.5263157894736842,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.4317070356360635
A0,505,S1,0.24866698828846234,0.6666666666666666,226,0.2235803412274001,0.4,31,0.20383141762452106,0.4117647058823529,32,A0  base: LR on raw embeddings,0.22535958238012785
A1,505,S1,0.36817841028367343,0.5984496124031008,226,0.3386530843237125,0.37209302325581395,31,0.32213031890451244,0.425531914893617,32,A1  + StandardScaler,0.34298727117063277
A2,505,S1,0.35594416109051474,0.6043613707165109,226,0.40483455014347464,0.4444444444444444,31,0.3425016976487565,0.4421052631578947,32,A2  + PCA (95% variance),0.36776013629424864
A3,505,S1,0.2294234360410831,0.6360294117647058,226,0.12842712842712842,0.28169014084507044,31,0.19624819624819625,0.3611111111111111,32,A3  XGBoost replaces LR,0.18469958690546925
A4,505,S1,0.3153998133325217,0.6256410256410256,226,0.28400488400488405,0.379746835443038,31,0.29444444444444445,0.41975308641975306,32,A4  + cost-sensitive weighting,0.29794971392728337
A5,505,S1,0.36453025914497394,0.6109324758842444,226,0.4007704446300937,0.4578313253012048,31,0.32769607843137255,0.45977011494252873,32,A5  + hybrid ensemble XGB+LR,0.36433226073548003
A6,505,S1,0.38288422694323804,0.5938650306748466,226,0.43747995512701393,0.46875,31,0.4515888523241465,0.4915254237288136,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4239843447981328
A2b,505,S1,0.3757237567352821,0.5728395061728395,226,0.41462616462616464,0.45614035087719296,31,0.4308043865319407,0.532258064516129,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.4070514359644624
A2c,505,S1,0.3614861717248708,0.5748792270531401,226,0.37077352472089314,0.47619047619047616,31,0.4154970760233918,0.4918032786885246,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.38258559082305194
A0,606,S1,0.2002801120448179,0.6219739292364991,226,0.19907407407407407,0.34782608695652173,31,0.18999323867478024,0.37142857142857144,32,A0  base: LR on raw embeddings,0.19644914159789073
A1,606,S1,0.3399311498406137,0.5754276827371695,226,0.27685185185185185,0.3855421686746988,31,0.3142150247413405,0.45161290322580644,32,A1  + StandardScaler,0.31033267547793536
A2,606,S1,0.33177333763172395,0.5727554179566563,226,0.3618206836163493,0.40963855421686746,31,0.3385695187165776,0.48936170212765956,32,A2  + PCA (95% variance),0.3440545133215503
A3,606,S1,0.2315942028985507,0.6485507246376812,226,0.19624819624819625,0.3783783783783784,31,0.2209348385818974,0.4155844155844156,32,A3  XGBoost replaces LR,0.21625907924288146
A4,606,S1,0.33146973554280057,0.6124567474048442,226,0.2297008547008547,0.37333333333333335,31,0.25638569604086847,0.4044943820224719,32,A4  + cost-sensitive weighting,0.2725187620948412
A5,606,S1,0.35307856802380977,0.6084142394822006,226,0.3204260651629072,0.4146341463414634,31,0.25758284600389864,0.38202247191011235,32,A5  + hybrid ensemble XGB+LR,0.3103624930635385
A6,606,S1,0.37010324482601065,0.6063829787234043,226,0.4096003157788055,0.509090909090909,31,0.3293068617206549,0.4727272727272727,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.36967014077515703
A2b,606,S1,0.39853653188692983,0.5734265734265734,226,0.4402176259060317,0.5203252032520326,31,0.3472792440534376,0.48214285714285715,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.39534446728213307
A2c,606,S1,0.3579554525762758,0.5950840879689522,226,0.4296522921522921,0.5112781954887218,31,0.3264269574614402,0.4,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.3713449007300027
