cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
XLM-R XGB,505,S1,0.35855285903056605,0.6002430133657352,226,0.26529866332497914,0.43103448275862066,31,0.2824669389886781,0.41739130434782606,32
IndoBERT LR,505,S1,0.3940204763264124,0.6197564276048715,226,0.42073934837092725,0.4745762711864407,31,0.38632478632478634,0.4716981132075472,32
IndoBERT XGB,505,S1,0.3611514712900005,0.6205059920106525,226,0.41015953598450006,0.5,31,0.39004060455673356,0.46846846846846846,32
IndoBERT Hybrid,505,S1,0.4174194437781678,0.6134663341645885,226,0.40969705444784976,0.5039370078740157,31,0.2791620524178664,0.41818181818181815,32
ME-XBAL,606,S1,0.39853653188692983,0.5734265734265734,226,0.4402176259060317,0.5203252032520326,31,0.3472792440534376,0.48214285714285715,32
ME-XBAL+XGB,606,S1,0.37010324482601065,0.6063829787234043,226,0.4096003157788055,0.509090909090909,31,0.3293068617206549,0.4727272727272727,32
XLM-R Hybrid,606,S1,0.36889275179098185,0.6292749658002736,226,0.37873015873015875,0.45714285714285713,31,0.28470787647650825,0.46296296296296297,32
XLM-R LR,606,S1,0.3741324659865781,0.5992010652463382,226,0.39191758858425524,0.46938775510204084,31,0.3194567062818336,0.4948453608247423,32
XLM-R XGB,606,S1,0.36878675477964223,0.6129458388375165,226,0.2828757896692679,0.47706422018348627,31,0.27630415561450045,0.41904761904761906,32
IndoBERT LR,606,S1,0.41698400816671666,0.6166666666666667,226,0.25215176979882864,0.4,31,0.3988095238095238,0.5208333333333334,32
IndoBERT XGB,606,S1,0.35047210484969343,0.6083333333333333,226,0.3526010574791063,0.5042016806722689,31,0.41847041847041844,0.5370370370370371,32
IndoBERT Hybrid,606,S1,0.44515256978071444,0.6088082901554405,226,0.2594276094276094,0.39622641509433965,31,0.3838888888888889,0.5,32
